planningStatus,planning_status,requestReviewCategory,isArchive,developmentStatus,status,totalLoggedHours,worklogsTotal,planning_id,projecType,id,resourceApproved,name,timestamp,engineeringManagerEmail
Approved,active,Plan_Consider,False,Active,Development,341.67,171,386,REGULAR,182,True,EBP-ENT 3709 MGI Code Audit,2026-05-25 11:39:15,nabin@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,128.56,47,313,REGULAR,181,False,EBP-ENT 3961 SPS Facilities Code Audit,2026-05-25 11:39:17,narendra@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Done,27.75,17,595,,179,False,CMS-RFC 3467 Mondiale VGL RFC6,2026-05-25 11:39:19,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Done,1732.85,1056,13,REGULAR,176,True,EBP-ENT 2724 GapMash Code Audit,2026-05-25 11:39:20,nabin@ebpearls.com.au
Approved,active,,False,Active,Development,429.12,178,568,REGULAR,173,False,EBP-ENT 4020 Baztel Code Audit,2026-05-25 11:39:22,ray@ebpearls.com.au
,,,False,Active,Done,0,0,,REGULAR,172,,EBP-ENT 3544 Stratus Smart Software,2026-05-25 11:39:23,prashant@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Final Budget Approval,2005.17,1157,416,,170,False,EBP-ENT 3339 Caroo RFC57 (Webapp MVP),2026-05-25 11:39:25,narendra@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Final Budget Approval,0,0,110,,169,True,Caroo Maintenace,2026-05-25 11:39:27,narendra@ebpearls.com.au
InProgress,inactive,,False,Active,Development,0,0,9,,167,False,CMS-RFC 3462 Friends United v2 (Theme Based) RFC2 v3,2026-05-25 11:39:28,sunil@ebpearls.com.au
,,,False,Active,Done,0,0,,,162,,CMS-RFC 3460 Wyer & Co RFC4,2026-05-25 11:39:30,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,64.75,36,331,LEASE,159,True,EBP-STAFF 1452 WUNA - Staff Leasing,2026-05-25 11:39:31,rajeshneupane@ebpearls.com.au
,,,False,Active,Done,0,0,,,136,,CMS-RFC 3446 365mesh RFC4,2026-05-25 11:39:33,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Budget Approval and Project Plan,988.1800000000002,602,8,REGULAR,132,True,EBP-ENT 3683 Stockman's Wallet,2026-05-25 11:39:35,karun@ebpearls.com.au
,,,False,Active,Done,0,0,,,128,,ENT-RFC 1823 Metahealth RFC1,2026-05-25 11:39:36,gorakh@ebpearls.com.au
,,,False,Active,Done,0,0,,REGULAR,126,,CMS-RFC 3445 Quantify Wellness Landing Page RFC2,2026-05-25 11:39:38,sunil@ebpearls.com.au
,,,False,Active,Done,0,0,,REGULAR,125,,EBP-ENT 3491MeetDelete Prototype,2026-05-25 11:39:40,bikash@ebpearls.com.au
Approved,active,,False,Active,Done,234.59000000000006,138,412,,115,False,EBP-ENT 3544 Stratus Smart Software Solutions,2026-05-25 11:39:41,prashant@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Live/30-day Support,7638.65,3472,408,REGULAR,112,False,EBP-ENT 3617 Top Teacher - Webapp v2,2026-05-25 11:39:43,gorakh@ebpearls.com.au
Approved,active,Resource_Booking_Only,False,Active,Done,3575.4599999999996,2326,406,REGULAR,110,True,EBP-ENT 3468 Communication Spectrum MVP,2026-05-25 11:39:44,nabin@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,0,0,63,REGULAR,102,True,Smart Mobile App Development with Agile Resource Augmentation,2026-05-25 11:39:46,narendra@ebpearls.com.au
Approved,active,,False,Suspended,Done,29.83,40,401,,92,False,EBP-CMS 2636 Metalia Studios,2026-05-25 11:39:48,sunil@ebpearls.com.au
Approved,active,,False,Active,Done,103.01,71,400,REGULAR,91,False,EBP-CMS 2639 Quantify Wellness Landing Page,2026-05-25 11:39:50,sunil@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Done,757.3499999999997,517,701,,90,False,EBP-CMS 2607 Bendooley Estate v4,2026-05-25 11:39:52,sunil@ebpearls.com.au
Draft,inactive,,False,Active,Beta Release,1525.08,627,160,REGULAR,85,False,EBP-ENT 3453 WUNA - Code Audit,2026-05-25 11:39:53,anima@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,1162.33,832,578,REGULAR,82,False,EBP-CMS 2634 Queensland Compassionate Services,2026-05-25 11:39:55,sunil@ebpearls.com.au
,,,False,Active,Done,0,0,,,75,,EBP-STAFF 1359 Doubleguard Staff Leasing,2026-05-25 11:39:57,karun@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Development,2499.4800000000005,1498,397,REGULAR,69,False,EBP-ENT 3098 Allied Health Directory,2026-05-25 11:39:59,karun@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Beta Release,8432.050000000005,5485,395,REGULAR,58,False,EBP-ENT 3281 VinoBid (Supabase),2026-05-25 11:40:00,anima@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Live/30-day Support,7381.259999999999,3989,394,REGULAR,57,False,EBP-ENT 3500 Beauty Grail WebApp,2026-05-25 11:40:02,anima@ebpearls.com.au
Approved,active,,False,Active,Done,186.16000000000003,215,392,,51,False,EBP-CMS 2635 Seymours Group,2026-05-25 11:40:03,sunil@ebpearls.com.au
,,,False,Active,Done,0,0,,,46,,CMS-RFC 3439 Voiceless RFC10,2026-05-25 11:40:05,sunil@ebpearls.com.au
,,,False,Active,Done,0,0,,,42,,ENT-RFC 1901 Adventure Shuffle - RFC 1,2026-05-25 11:40:07,anima@ebpearls.com.au
,,,False,Active,Done,0,0,,,30,,CMS-RFC 3427 EBP-CMS 2639 Quantify Wellness Landing Page RFC1,2026-05-25 11:40:08,sunil@ebpearls.com.au
,,,False,Active,Done,0,0,,,25,,ENT-RFC 1910 Property Dollar Gamification Prototype RFC1,2026-05-25 11:40:10,rupesh@ebpearls.com.au
,,,False,Active,Done,0,0,,,14,,EBP-ENT 3841 Coposit Penetration Testing Report,2026-05-25 11:40:11,yangjee@ebpearls.com.au
,,,False,Active,Done,0,0,,,13,,CMS-RFC 3416 OutcomeX RFC24,2026-05-25 11:40:13,sunil@ebpearls.com.au
,,,False,Active,Done,0,0,,REGULAR,12,,CMS-RFC 3415 Blue Spinach RFC25,2026-05-25 11:40:14,sunil@ebpearls.com.au
,,,False,Active,Done,48.91,46,,,11,,EBP-ENT 3672 Nimbus Receipt Prototype,2026-05-25 11:40:16,narendra@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,469.75,129,391,REGULAR,10,False,EBP-ENT 3834 Dating App Code Audit v2,2026-05-25 11:40:18,ray@ebpearls.com.au
,,,False,Active,Done,0,0,,,4,,EBP-ENT 3825 Air Run Prototype,2026-05-25 11:40:19,samir@ebpearls.com.au
,,,False,Active,Done,0,0,,,2,,ENT-RFC 1896 Copost Pen testing,2026-05-25 11:40:21,yangjee@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,814,REGULAR,555,True,Gapmash Maintenance,2026-05-25 11:40:22,nabin@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,813,REGULAR,554,True,MGI Maintenance,2026-05-25 11:40:24,nabin@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,812,REGULAR,553,True,Freight Search Maintenance,2026-05-25 11:40:26,nabin@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Final Budget Approval,0,0,811,REGULAR,552,True,Communication Spectrum Maintenance,2026-05-25 11:40:27,nabin@ebpearls.com.au
Draft,inactive,,False,Active,Development,2381.5199999999995,1428,804,REGULAR,550,False,EBP-ENT 3345 Countdown V2 V2,2026-05-25 11:40:29,karun@ebpearls.com.au
,,,False,Active,Project approved,0,0,,REGULAR,549,,EBP-RFC 3460 Coach Merv RFC1 SRS,2026-05-25 11:40:30,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,801,REGULAR,547,True,Personhood - Maintenance,2026-05-25 11:40:32,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,800,REGULAR,546,True,Top Teacher - Webapp v2 - Maintenance,2026-05-25 11:40:33,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,798,REGULAR,544,True,CT Freight - Client Portal (Webapp Only) - Maintenance,2026-05-25 11:40:35,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,777,REGULAR,543,True,Howdy Maintenance,2026-05-25 11:40:37,prashant@ebpearls.com.au
InProgress,active,,False,Active,Kick Off Workshop,0,0,775,REGULAR,541,False,EBP-ENT 4211  Jon Lim Revised MVP,2026-05-25 11:40:38,
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,806,REGULAR,540,True,EBP-ENT 4193 Zenu - Pro-invest Stays Pty Ltd,2026-05-25 11:40:40,gorakh@ebpearls.com.au
,,,False,Active,Wireframe,0,0,,REGULAR,539,,EBP-RFC 3458 To Be Me - RFC3 (Translation & Localisation),2026-05-25 11:40:41,karun@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Budget Approval and Project Plan,76.0,55,794,REGULAR,536,False,ENT-RFC 2056 Top Teacher RFC12,2026-05-25 11:40:43,gorakh@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Budget Approval and Project Plan,9.0,8,770,REGULAR,535,False,EBP-RFC 3473 Bendooleyestate RFC4,2026-05-25 11:40:44,sunil@ebpearls.com.au
InProgress,active,,False,Active,Project approved,0,0,796,REGULAR,534,False,EBP-CMS 2699 Salima,2026-05-25 11:40:46,sunil@ebpearls.com.au
,,,False,Active,Kick Off Workshop,0,0,,REGULAR,533,,Tom Swan,2026-05-25 11:40:48,ray@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,3,3,763,REGULAR,532,False,My Leather Doctor - RFC 4 (Resolving Email Storage Limitations),2026-05-25 11:40:49,pradeep@ebpearls.com.au
Review,active,Plan_Review,False,Active,Wireframe,0,0,816,REGULAR,530,True,Wedmuse (vibe Coded + Custom Coded) MVP,2026-05-25 11:40:51,sweta@ebpearls.com.au
,,,False,Active,Kick Off Workshop,0,0,,REGULAR,528,,EBP-ENT 4181 Bikemebro,2026-05-25 11:40:52,nabin@ebpearls.com.au
Draft,inactive,,False,Active,Kick Off Workshop,0,0,751,REGULAR,527,False,EBP-ENT 4180 Nimbus Receipt MVPv2.1,2026-05-25 11:40:54,karun@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Kick Off Workshop,0,0,750,REGULAR,526,True,EBP-ENT 4174 Strategy 1 HR Staff Leasing,2026-05-25 11:40:55,narendra@ebpearls.com.au
,,,False,Active,Project approved,0,0,,REGULAR,525,,EBP-ENT 3793 A&S Australian Investment - Web App,2026-05-25 11:40:57,karun@ebpearls.com.au
Approved,active,,False,Active,Final Budget Approval,59.0,27,761,REGULAR,524,False,ACM RFC - Braze Integration,2026-05-25 11:40:59,gorakh@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Development,4.75,1,802,REGULAR,522,False,EBP-ENT 4020 Baztel Code Audit (Phase 2),2026-05-25 11:41:00,ray@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Kick Off Workshop,797.25,248,675,REGULAR,521,True,AI Workflow,2026-05-25 11:41:02,narendra@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Budget Approval and Project Plan,205.0,104,714,REGULAR,520,False,EBP-ENT Howdy RFC,2026-05-25 11:41:03,prashant@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Wireframe - Approved and Design Started,0,0,708,REGULAR,516,True,EBP-CMS 2692 MyComms Website Refresh,2026-05-25 11:41:05,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Wireframe - Approved and Design Started,0,0,718,REGULAR,514,True,EBP-ENT 4150 Mate Money,2026-05-25 11:41:07,sweta@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Wireframe - Approved and Design Started,0,0,671,REGULAR,513,True,Inferent Analyst,2026-05-25 11:41:08,nabin@ebpearls.com.au
InProgress,inactive,,False,Active,Wireframe - Approved and Design Started,0,0,687,REGULAR,501,False,EBP-PROTO 1464 Ampd Prototype,2026-05-25 11:41:10,nabin@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,,initiating,620.1399999999999,360,577,REGULAR,488,True,Workforce Tool,2026-05-25 11:41:11,bikash@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,898.2799999999999,454,731,REGULAR,485,False,RelloPay CRM,2026-05-25 11:41:13,sweta@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,,initiating,0,0,388,REGULAR,483,True,Squad Lead Task,2026-05-25 11:41:15,bikash@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,385,REGULAR,482,True,SEST,2026-05-25 11:41:16,
Review,inactive,Resource_Booking_Only,False,Terminated,Final Budget Approval,0,0,552,LEASE,481,True,EBP-STAFF 1481 Stockman's Wallet Staff Leasing Proposal V4,2026-05-25 11:41:18,karun@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Live/30-day Support,127.25,64,651,REGULAR,480,False,Glucose Management Software (REGAS) New,2026-05-25 11:41:19,prasanna@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Project approved,125.17,56,580,REGULAR,479,False,ENT-RFC 2055 Isaac Server Restructuring RFC,2026-05-25 11:41:21,pradeep@ebpearls.com.au
,,,False,Active,Design - Approved and SRS Initiated,0,0,,REGULAR,476,,EBP-ENT 3753 FlyBright v2,2026-05-25 11:41:23,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,357,REGULAR,469,True,Ebtheme,2026-05-25 11:41:24,bikash@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,4710.429999999999,2949,352,LEASE,462,True,EBP-STAFF 1469 DDEG ERP Staff Leasing,2026-05-25 11:41:26,nabin@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,3013.800000000001,2935,349,REGULAR,461,True,IT Internals,2026-05-25 11:41:27,pradeep@ebpearls.com.au
Approved,active,Resource_Booking_Only,False,Active,Final Budget Approval,1188.33,387,817,REGULAR,459,True,EB Pearls - Hubspot Website,2026-05-25 11:41:29,bikash@ebpearls.com.au
,,,False,On Client Hold,Wireframe,0,0,,REGULAR,457,,EBP-ENT 3930 Peoples Voice,2026-05-25 11:41:31,karun@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Budget Approval and Project Plan,1876.7799999999997,871,544,LEASE,453,True,EBP-STAFF 1471 Shedule AI (Nisha) - Staff Leasing Proposal,2026-05-25 11:41:32,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,5117.049999999999,3369,222,REGULAR,364,True,PeopleOps Goal,2026-05-25 11:41:34,sanjeena@ebpearls.com.au
Review,active,Resource_Booking_Only,False,Active,Design - Approved and SRS Initiated,211.56000000000006,139,309,REGULAR,303,True,EBP-ENT 4078 AgentSwipe MVP,2026-05-25 11:41:35,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,On Client Hold,Wireframe,12.42,9,320,REGULAR,300,True,EBP-ENT 4063 Beare Flooring Prototype,2026-05-25 11:41:37,prasanna@ebpearls.com.au
,,,False,Active,Project approved,0,0,,REGULAR,295,,Research and Learning not needed,2026-05-25 11:41:39,yangjee@ebpearls.com.au
Review,active,Resource_Booking_Only,False,Active,Project approved,0,0,143,REGULAR,294,False,Research and Learning New,2026-05-25 11:41:40,yangjee@ebpearls.com.au
Review,active,Resource_Booking_Only,False,Active,Project approved,0,0,142,REGULAR,293,False,QA OKR Goal Task,2026-05-25 11:41:42,yangjee@ebpearls.com.au
Draft,inactive,,False,,initiating,0,0,384,REGULAR,274,False,OKR Goal,2026-05-25 11:41:43,
Review,active,Resource_Booking_Only,False,Active,Project approved,0,0,139,REGULAR,270,False,Senior QA Role,2026-05-25 11:41:45,yangjee@ebpearls.com.au
Draft,inactive,,False,Active,Project approved,0,0,134,REGULAR,269,False,Lead and Support,2026-05-25 11:41:47,bikash@ebpearls.com.au
Draft,inactive,,False,On Client Hold,Wireframe - Approved and Design Started,0,0,324,REGULAR,263,False,EBP-ENT 4051 Workmate App Prototype,2026-05-25 11:41:48,prasanna@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Wireframe,233.75,108,618,REGULAR,262,False,Starter Kit v5,2026-05-25 11:41:50,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Wireframe,197.15,79,122,REGULAR,259,True,EBP-ENT 3693 CBMFG Prototype,2026-05-25 11:41:51,ray@ebpearls.com.au
Approved,active,Plan_Consider,False,On Client Hold,Development,857.7399999999999,546,436,REGULAR,257,False,EBP-CMS 2403 Blkdot Client Portal,2026-05-25 11:41:53,sunil@ebpearls.com.au
Review,active,Resource_Booking_Only,False,,initiating,25891.490000000045,73505,118,,255,True,Miscellaneous Hours,2026-05-25 11:41:55,
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,114,REGULAR,253,True,CMS Maintenance,2026-05-25 11:41:56,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,0,0,112,REGULAR,248,True,Honey Pot Mobile App,2026-05-25 11:41:58,ray@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,0,0,111,REGULAR,245,True,CT Freight (QC App) maintenance,2026-05-25 11:41:59,gorakh@ebpearls.com.au
Approved,active,Resource_Booking_Only,False,Active,Development,927.74,401,434,REGULAR,242,True,ENT-RFC 1804 Cordouan Health RFC2,2026-05-25 11:42:01,karun@ebpearls.com.au
Draft,inactive,,False,Active,Project approved,0,0,102,REGULAR,238,False,Cordouan Health ( Maintenance ),2026-05-25 11:42:02,
Draft,inactive,,False,Active,Project approved,0,0,101,REGULAR,237,False,All Pumps ( Maintenance),2026-05-25 11:42:04,
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,762,REGULAR,234,True,Portal,2026-05-25 11:42:06,sunil@ebpearls.com.au
Review,active,Resource_Booking_Only,False,Active,Project approved,4373.970000000001,2531,95,REGULAR,232,True,Ebplanner,2026-05-25 11:42:07,bikash@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,49.5,17,75,REGULAR,221,False,One Wardrobe,2026-05-25 11:42:09,ray@ebpearls.com.au
Draft,inactive,,False,Suspended,Wireframe - Approved and Design Started,0,0,348,REGULAR,217,False,EBP-ENT 3922 Mustr Racing MVP v3,2026-05-25 11:42:10,anima@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Wireframe - Approved and Design Started,3707.2599999999984,2002,746,REGULAR,216,True,EBP-ENT 3785 Stay Upright Mobile App,2026-05-25 11:42:12,prasanna@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Wireframe - Approved and Design Started,0,0,120,REGULAR,213,True,EBP-ENT 4025 Coach Merv Prototype,2026-05-25 11:42:14,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,0,0,58,LEASE,203,True,EBP-ENT 2394 MYBOS v2,2026-05-25 11:42:15,prashant@ebpearls.com.au
Consider,inactive,Plan_Consider,False,Active,Budget Approval and Project Plan,0,0,781,REGULAR,202,True,EBP-ENT 4007 ToBeMe (Mobile and Webapp) - Tom,2026-05-25 11:42:17,karun@ebpearls.com.au
Review,active,Plan_Consider,False,Active,Development,944.06,366,593,REGULAR,198,False,CMS-RFC 3472 Estraints RFC11,2026-05-25 11:42:18,sunil@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,3368.750000000003,2222,316,REGULAR,193,False,EBP-ENT 3014 Glucose Management Software,2026-05-25 11:42:20,rajeshneupane@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Wireframe,483.18000000000006,242,17,REGULAR,185,False,EBP-ENT 3679 Telehealth App v2,2026-05-25 11:42:22,prashant@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Final Budget Approval,3253.11,1901,748,REGULAR,180,False,EBP-ENT 4000 Australian Campdraft Association (Wordpress) Full Development v2,2026-05-25 11:42:23,prashant@ebpearls.com.au
InProgress,inactive,,False,Active,Budget Approval and Project Plan,195.9,96,322,REGULAR,174,False,EBP-ENT 4012 Parent Hub,2026-05-25 11:42:25,prashant@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Wireframe,9.75,6,65,REGULAR,166,True,EBP-ENT 4006 Syncra v2,2026-05-25 11:42:26,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,On Client Hold,Wireframe,0,0,103,REGULAR,160,True,EBP-ENT 3999 EFS Prototype,2026-05-25 11:42:28,nabin@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Final Budget Approval,0,0,570,LEASE,157,False,EBP-STAFF 1462 EFS Staff Leasing,2026-05-25 11:42:30,bikash@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,2319.09,1021,415,LEASE,153,True,EBP-STAFF 1461 DDEG Staff Leasing,2026-05-25 11:42:31,nabin@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Final Budget Approval,294.74,70,625,REGULAR,148,True,EBP-ENT 3993 My Leather Doctor Code Audit (Phase 1),2026-05-25 11:42:33,prasanna@ebpearls.com.au
,,,False,Terminated,Budget Approval and Project Plan,0,0,,,147,,CMS-RFC 3435 Ellar Boutique API,2026-05-25 11:42:34,sunil@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Development,1107.000000000001,871,734,REGULAR,143,False,EBP-ENT 3963 Associated Cleaning App,2026-05-25 11:42:36,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Wireframe,28.5,20,310,,141,True,EBP-CMS 2655 Wingspan - Theme Based,2026-05-25 11:42:37,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,On Client Hold,Wireframe,0,0,330,,138,True,EBP-ENT 3918 KKW Trucks,2026-05-25 11:42:39,karun@ebpearls.com.au
Draft,inactive,,False,On Client Hold,Wireframe - Approved and Design Started,0,0,305,REGULAR,129,False,EBP-ENT 3661 Reasy Prototype,2026-05-25 11:42:41,prashant@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Project approved,0,0,79,REGULAR,127,True,EBP-ENT 2042 Australian Community Media v2 - Maintenance,2026-05-25 11:42:42,gorakh@ebpearls.com.au
Approved,active,,False,On Client Hold,Budget Approval and Project Plan,1280.1300000000003,745,413,,123,False,EBP-CMS 2530 Reliable Driving School (Re-development) v2,2026-05-25 11:42:44,sunil@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Development,987.12,410,411,REGULAR,114,True,ENT-RFC 1803 AWN.net RFC26 (Client Portal 3.0 including GenAI),2026-05-25 11:42:45,prashant@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Beta Release,720.83,423,410,REGULAR,113,False,EBP-ENT 3401 CT Freight - Client Portal (Webapp Only),2026-05-25 11:42:47,gorakh@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,3671.92,572,405,LEASE,108,True,EBP-STAFF 1353 Pogozo Staff Leasing v2,2026-05-25 11:42:49,nabin@ebpearls.com.au
Review,active,Resource_Booking_Only,False,Active,Development,2578.1600000000017,1739,404,REGULAR,107,True,EBP-ENT 3345 Countdown v2,2026-05-25 11:42:50,karun@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,2120.19,288,66,LEASE,105,True,EBP-STAFF 1431 Rello - Staff Leasing Agreement,2026-05-25 11:42:52,samir@ebpearls.com.au
Review,active,Resource_Booking_Only,False,Active,Development,38459.07999999999,6766,403,LEASE,103,True,Tills Payment v2,2026-05-25 11:42:53,narendra@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,1121.98,408,402,LEASE,101,True,EBP-STAFF 1348 Specialist Protection Group Staff Leasing v2,2026-05-25 11:42:55,sweta@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,2114.21,1286,157,REGULAR,98,False,EBP-ENT 3573 Honeypot (Webapp),2026-05-25 11:42:57,samir@ebpearls.com.au
,,,False,Terminated,Wireframe,0,0,,REGULAR,97,,EBP-ENT 3625 Aesthetic Practitioner Platform Prototype,2026-05-25 11:42:58,prashant@ebpearls.com.au
Consider,active,Plan_Consider,False,Active,Beta Release,8529.640000000001,3977,237,REGULAR,72,False,EBP-ENT 3358 Doubleguard App v1,2026-05-25 11:43:00,karun@ebpearls.com.au
Review,inactive,Plan_Review,False,Active,Design - Approved and SRS Initiated,2449.6400000000012,1407,556,REGULAR,68,True,EBP-ENT 3812 PEAR v2,2026-05-25 11:43:02,prasanna@ebpearls.com.au
Approved,active,Plan_Consider,False,Suspended,Final Budget Approval,11143.85,6022,396,REGULAR,60,False,EBP-ENT 2981 TalkNow Telehealth (Mobile + Web App) v2,2026-05-25 11:43:03,karun@ebpearls.com.au
Draft,inactive,,False,On Client Hold,Design - Approved and SRS Initiated,54.91,51,217,REGULAR,59,False,EBP-ENT 3364 Borroway v3 (Supabase),2026-05-25 11:43:05,gorakh@ebpearls.com.au
Approved,active,Plan_Review,False,Active,Final Budget Approval,424.75000000000006,297,739,REGULAR,55,False,EBP-CMS 2659 Rogue Dahlia,2026-05-25 11:43:06,sunil@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Development,2959.57,1137,341,LEASE,52,True,EBP-STAFF 1459 Vinobid Staff Lease v2,2026-05-25 11:43:08,rajeshneupane@ebpearls.com.au
InProgress,inactive,,False,On Internal Hold,Development,5170.300000000002,3124,31,REGULAR,49,False,EBP-ENT 3747 HAPPS,2026-05-25 11:43:09,prasanna@ebpearls.com.au
Draft,inactive,,False,On Internal Hold,Kick Off Workshop,2.33,6,133,REGULAR,43,False,EBP-ENT 3867 Fashion AI Prototype,2026-05-25 11:43:11,prashant@ebpearls.com.au
Approved,active,Plan_Consider,False,Active,Development,142.10999999999999,112,810,REGULAR,31,False,EBP-CMS 2592 BatesHolmes,2026-05-25 11:43:13,sunil@ebpearls.com.au
InProgress,inactive,,False,On Client Hold,Design - Approved and SRS Initiated,13.950000000000001,12,147,REGULAR,26,False,EBP-ENT 3837 Community Alert,2026-05-25 11:43:19,prasanna@ebpearls.com.au
Approved,active,Resource_Booking_Only,False,Active,Development,1163.2399999999998,969,390,REGULAR,6,True,EBP-ENT 3556 Whiskrs,2026-05-25 11:43:24,nabin@ebpearls.com.au
Review,inactive,Resource_Booking_Only,False,Active,Design - Approved and SRS Initiated,24.990000000000002,27,86,REGULAR,3,False,EBP-ENT 3827 DDEG Phase 1,2026-05-25 11:43:30,nabin@ebpearls.com.au
